Countries and territories,Place,Start date,End date,Level,HTML_TYPE
San Marino,"NA",2020-03-14,2020-05-05,National,24/05/2020 04:15:13_local
Saudi Arabia,Jeddah,2020-03-29,"NA",City,24/05/2020 04:15:13_local
Saudi Arabia,Qatif,2020-03-09,Area,City,24/05/2020 04:15:13_local
Saudi Arabia,Riyadh,2020-03-26,City,City,24/05/2020 04:15:13_local
Serbia,"NA",2020-03-15,2020-04-21,National,24/05/2020 04:15:13_local
Singapore,"NA",2020-04-07,2020-06-01,National,24/05/2020 04:15:13_local
South Africa,"NA",2020-03-26,2020-04-30,National,24/05/2020 04:15:13_local
Spain,"NA",2020-03-14,2020-05-09,National,24/05/2020 04:15:13_local
Thailand,"NA",2020-03-25,2020-05-31,National,24/05/2020 04:15:13_local
Trinidad and Tobago,"NA",2020-03-17,2020-03-31,National,24/05/2020 04:15:13_local
Tunisia,"NA",2020-03-22,2020-04-19,National,24/05/2020 04:15:13_local
Turkey,"NA",2020-04-23,2020-04-27,Only in,24/05/2020 04:15:13_local
Ukraine,"NA",2020-03-17,2020-04-24,National,24/05/2020 04:15:13_local
United Arab Emirates,"NA",2020-03-26,2020-04-17,National,24/05/2020 04:15:13_local
United Kingdom,"NA",2020-03-23,"NA",National,24/05/2020 04:15:13_local
United States,California,2020-03-19,"NA",State,24/05/2020 04:15:13_local
United States,"Clark County, NV",2020-03-20,"NA",County,24/05/2020 04:15:13_local
United States,Connecticut,2020-03-23,2020-04-22,State,24/05/2020 04:15:13_local
United States,Illinois,2020-03-21,2020-05-30,State,24/05/2020 04:15:13_local
United States,"Kansas City, KS",2020-03-24,2020-04-19,City,24/05/2020 04:15:13_local
United States,Massachusetts,2020-03-24,2020-05-04,State,24/05/2020 04:15:13_local
United States,Michigan,2020-03-24,2020-04-13,State,24/05/2020 04:15:13_local
United States,New York,2020-03-20,2020-06-13,State,24/05/2020 04:15:13_local
United States,Oregon,2020-03-24,"NA",State,24/05/2020 04:15:13_local
United States,Wisconsin,2020-03-24,"NA",State,24/05/2020 04:15:13_local
Venezuela,"NA",2020-03-17,2020-05-13,National,24/05/2020 04:15:13_local
Zimbabwe,"NA",2020-03-30,2020-05-02,National,24/05/2020 04:15:13_local
